fold,model,pred_len,MAE,ticker
3,Naive,5,0.27,BVB
4,Linear,5,0.46,BVB
4,DLinear,5,0.38,BVB
4,NLinear,5,0.33,BVB
4,Naive,5,0.32,BVB
1,Linear,21,0.67,BVB
1,DLinear,21,0.65,BVB
1,NLinear,21,0.62,BVB
1,Naive,21,0.79,BVB
2,Linear,21,0.76,BVB
2,DLinear,21,0.69,BVB
2,NLinear,21,0.74,BVB
2,Naive,21,0.73,BVB
3,Linear,21,1.0,BVB
3,DLinear,21,1.0,BVB
3,NLinear,21,0.62,BVB
3,Naive,21,0.43,BVB
4,Linear,21,0.89,BVB
4,DLinear,21,0.86,BVB
4,NLinear,21,0.67,BVB
4,Naive,21,0.67,BVB
1,Linear,1,0.91,CTG
1,DLinear,1,0.51,CTG
1,NLinear,1,0.31,CTG
1,Naive,1,0.3,CTG
2,Linear,1,1.09,CTG
2,DLinear,1,0.46,CTG
2,NLinear,1,0.41,CTG
2,Naive,1,0.4,CTG
3,Linear,1,1.07,CTG
3,DLinear,1,0.71,CTG
3,NLinear,1,0.48,CTG
3,Naive,1,0.47,CTG
4,Linear,1,1.59,CTG
4,DLinear,1,0.91,CTG
4,NLinear,1,0.55,CTG
4,Naive,1,0.55,CTG
1,Linear,5,0.92,CTG
1,DLinear,5,0.68,CTG
1,NLinear,5,0.59,CTG
1,Naive,5,0.54,CTG
2,Linear,5,0.87,CTG
2,DLinear,5,0.7,CTG
2,NLinear,5,0.59,CTG
2,Naive,5,0.65,CTG
3,Linear,5,1.09,CTG
3,DLinear,5,0.93,CTG
3,NLinear,5,0.79,CTG
3,Naive,5,0.76,CTG
4,Linear,5,1.63,CTG
4,DLinear,5,1.12,CTG
4,NLinear,5,0.92,CTG
4,Naive,5,0.96,CTG
1,Linear,21,1.62,CTG
1,DLinear,21,1.38,CTG
1,NLinear,21,1.3,CTG
1,Naive,21,1.19,CTG
2,Linear,21,1.26,CTG
2,DLinear,21,1.46,CTG
2,NLinear,21,1.31,CTG
2,Naive,21,1.61,CTG
3,Linear,21,1.76,CTG
3,DLinear,21,1.34,CTG
3,NLinear,21,1.23,CTG
3,Naive,21,1.25,CTG
4,Linear,21,2.98,CTG
4,DLinear,21,2.25,CTG
4,NLinear,21,1.85,CTG
4,Naive,21,1.66,CTG
1,Linear,1,0.67,EIB
1,DLinear,1,0.69,EIB
1,NLinear,1,0.38,EIB
1,Naive,1,0.37,EIB
2,Linear,1,0.85,EIB
2,DLinear,1,0.9,EIB
2,NLinear,1,0.56,EIB
2,Naive,1,0.58,EIB
3,Linear,1,0.73,EIB
3,DLinear,1,1.01,EIB
3,NLinear,1,0.42,EIB
3,Naive,1,0.42,EIB
4,Linear,1,0.66,EIB
4,DLinear,1,0.84,EIB
4,NLinear,1,0.45,EIB
4,Naive,1,0.43,EIB
1,Linear,5,0.85,EIB
1,DLinear,5,0.87,EIB
1,NLinear,5,0.66,EIB
1,Naive,5,0.69,EIB
2,Linear,5,1.04,EIB
2,DLinear,5,1.08,EIB
2,NLinear,5,0.9,EIB
2,Naive,5,0.94,EIB
3,Linear,5,1.67,EIB
3,DLinear,5,1.9,EIB
3,NLinear,5,0.86,EIB
3,Naive,5,0.7,EIB
4,Linear,5,0.93,EIB
4,DLinear,5,1.01,EIB
4,NLinear,5,0.8,EIB
4,Naive,5,0.75,EIB
1,Linear,21,1.37,EIB
1,DLinear,21,1.38,EIB
1,NLinear,21,0.95,EIB
1,Naive,21,1.33,EIB
2,Linear,21,1.39,EIB
2,DLinear,21,1.28,EIB
2,NLinear,21,1.55,EIB
2,Naive,21,1.65,EIB
3,Linear,21,4.6,EIB
3,DLinear,21,4.7,EIB
3,NLinear,21,1.91,EIB
3,Naive,21,1.32,EIB
4,Linear,21,1.5,EIB
4,DLinear,21,1.65,EIB
4,NLinear,21,1.07,EIB
4,Naive,21,1.08,EIB
1,Linear,1,0.45,HDB
1,DLinear,1,0.3,HDB
1,NLinear,1,0.22,HDB
1,Naive,1,0.21,HDB
2,Linear,1,0.8,HDB
2,DLinear,1,0.52,HDB
2,NLinear,1,0.32,HDB
2,Naive,1,0.34,HDB
3,Linear,1,0.98,HDB
3,DLinear,1,0.7,HDB
3,NLinear,1,0.49,HDB
3,Naive,1,0.47,HDB
4,Linear,1,0.77,HDB
4,DLinear,1,0.59,HDB
4,NLinear,1,0.43,HDB
4,Naive,1,0.39,HDB
1,Linear,5,0.66,HDB
1,DLinear,5,0.41,HDB
1,NLinear,5,0.38,HDB
1,Naive,5,0.38,HDB
2,Linear,5,1.16,HDB
2,DLinear,5,0.79,HDB
2,NLinear,5,0.61,HDB
