fold,model,pred_len,MAE,ticker
1,DLinear,21,2.99,VCB
1,NLinear,21,3.06,VCB
1,Naive,21,2.93,VCB
2,Linear,21,2.22,VCB
2,DLinear,21,1.84,VCB
2,NLinear,21,1.77,VCB
2,Naive,21,2.24,VCB
3,Linear,21,1.33,VCB
3,DLinear,21,1.35,VCB
3,NLinear,21,1.66,VCB
3,Naive,21,1.48,VCB
4,Linear,21,4.57,VCB
4,DLinear,21,4.25,VCB
4,NLinear,21,4.34,VCB
4,Naive,21,3.8,VCB
1,Linear,1,0.3,VIB
1,DLinear,1,0.24,VIB
1,NLinear,1,0.17,VIB
1,Naive,1,0.16,VIB
2,Linear,1,0.6,VIB
2,DLinear,1,0.33,VIB
2,NLinear,1,0.26,VIB
2,Naive,1,0.26,VIB
3,Linear,1,0.38,VIB
3,DLinear,1,0.34,VIB
3,NLinear,1,0.29,VIB
3,Naive,1,0.2,VIB
4,Linear,1,0.33,VIB
4,DLinear,1,0.32,VIB
4,NLinear,1,0.21,VIB
4,Naive,1,0.21,VIB
1,Linear,5,0.44,VIB
1,DLinear,5,0.35,VIB
1,NLinear,5,0.29,VIB
1,Naive,5,0.28,VIB
2,Linear,5,0.88,VIB
2,DLinear,5,0.63,VIB
2,NLinear,5,0.46,VIB
2,Naive,5,0.48,VIB
3,Linear,5,0.52,VIB
3,DLinear,5,0.51,VIB
3,NLinear,5,0.38,VIB
3,Naive,5,0.31,VIB
4,Linear,5,0.4,VIB
4,DLinear,5,0.38,VIB
4,NLinear,5,0.38,VIB
4,Naive,5,0.32,VIB
1,Linear,21,0.84,VIB
1,DLinear,21,0.8,VIB
1,NLinear,21,0.68,VIB
1,Naive,21,0.63,VIB
2,Linear,21,1.43,VIB
2,DLinear,21,1.1,VIB
2,NLinear,21,1.06,VIB
2,Naive,21,1.27,VIB
3,Linear,21,0.82,VIB
3,DLinear,21,0.87,VIB
3,NLinear,21,0.72,VIB
3,Naive,21,0.57,VIB
4,Linear,21,0.56,VIB
4,DLinear,21,0.67,VIB
4,NLinear,21,0.55,VIB
4,Naive,21,0.46,VIB
1,Linear,1,0.46,VPB
1,DLinear,1,0.44,VPB
1,NLinear,1,0.26,VPB
1,Naive,1,0.23,VPB
2,Linear,1,1.05,VPB
2,DLinear,1,1.04,VPB
2,NLinear,1,0.7,VPB
2,Naive,1,0.61,VPB
3,Linear,1,2.17,VPB
3,DLinear,1,1.76,VPB
3,NLinear,1,0.7,VPB
3,Naive,1,0.61,VPB
4,Linear,1,1.9,VPB
4,DLinear,1,1.5,VPB
4,NLinear,1,0.52,VPB
4,Naive,1,0.44,VPB
1,Linear,5,0.66,VPB
1,DLinear,5,0.61,VPB
1,NLinear,5,0.44,VPB
1,Naive,5,0.4,VPB
2,Linear,5,1.7,VPB
2,DLinear,5,1.52,VPB
2,NLinear,5,1.08,VPB
2,Naive,5,1.2,VPB
3,Linear,5,2.95,VPB
3,DLinear,5,2.62,VPB
3,NLinear,5,1.11,VPB
3,Naive,5,0.86,VPB
4,Linear,5,2.6,VPB
4,DLinear,5,2.31,VPB
4,NLinear,5,0.84,VPB
4,Naive,5,0.75,VPB
1,Linear,21,1.39,VPB
1,DLinear,21,1.36,VPB
1,NLinear,21,1.16,VPB
1,Naive,21,1.02,VPB
2,Linear,21,3.21,VPB
2,DLinear,21,3.27,VPB
2,NLinear,21,2.78,VPB
2,Naive,21,3.42,VPB
3,Linear,21,4.02,VPB
3,DLinear,21,4.89,VPB
3,NLinear,21,2.26,VPB
3,Naive,21,1.39,VPB
4,Linear,21,3.05,VPB
4,DLinear,21,4.49,VPB
4,NLinear,21,1.52,VPB
4,Naive,21,1.31,VPB
