ticker,model,pred_len,RMSE,MAE,R2,VarianceRatio
KLB,Naive,21,1.05,0.8428,0.3095,1.0244
KLB,Linear,21,1.4199,1.1046,-0.2627,1.3158
KLB,DLinear,21,1.3463,1.0615,-0.1352,1.2972
KLB,NLinear,21,1.3283,1.0513,-0.1051,1.2523
LPB,Naive,1,0.9215,0.699,0.9421,0.9989
LPB,Linear,1,2.8667,2.2187,0.4393,1.0791
LPB,DLinear,1,1.835,1.3919,0.7703,0.957
LPB,NLinear,1,1.0296,0.8007,0.9277,0.9755
LPB,Naive,5,1.6138,1.1326,0.8258,1.0014
LPB,Linear,5,3.9905,3.388,-0.065,0.8354
LPB,DLinear,5,2.991,2.5311,0.4017,0.7947
LPB,NLinear,5,1.7254,1.2669,0.8009,0.9359
LPB,Naive,21,2.6434,1.8856,0.5252,1.0514
LPB,Linear,21,5.0777,4.3381,-0.7519,0.8472
LPB,DLinear,21,4.9343,4.1463,-0.6543,0.8154
LPB,NLinear,21,2.8547,2.2949,0.4463,0.8679
MBB,Naive,1,0.4819,0.342,0.8934,1.0003
MBB,Linear,1,1.5105,1.2961,-0.047,1.0462
MBB,DLinear,1,1.3026,1.0885,0.2213,0.7502
MBB,NLinear,1,0.5621,0.4209,0.855,1.0582
MBB,Naive,5,0.7583,0.5518,0.7423,1.0017
MBB,Linear,5,1.475,1.0389,0.025,1.1066
MBB,DLinear,5,1.2538,1.0073,0.2955,0.9965
MBB,NLinear,5,0.8067,0.6055,0.7084,1.1117
MBB,Naive,21,1.4433,1.098,0.1405,1.0105
MBB,Linear,21,3.0611,2.4668,-2.8661,1.2137
MBB,DLinear,21,2.7141,2.2194,-2.0391,1.1565
MBB,NLinear,21,1.261,0.9829,0.344,1.1822
MSB,Naive,1,0.2123,0.144,0.8767,1.0041
MSB,Linear,1,0.4019,0.2977,0.5581,0.9804
MSB,DLinear,1,0.3213,0.2325,0.7175,0.9809
MSB,NLinear,1,0.2416,0.1722,0.8404,1.0502
MSB,Naive,5,0.3322,0.2349,0.6945,1.0223
MSB,Linear,5,0.543,0.4261,0.1837,1.0843
MSB,DLinear,5,0.5155,0.4004,0.2643,1.1104
MSB,NLinear,5,0.3496,0.2519,0.6616,1.0158
MSB,Naive,21,0.598,0.4499,-0.0829,1.0911
MSB,Linear,21,1.1236,0.9547,-2.8222,1.2848
MSB,DLinear,21,1.0139,0.8425,-2.1124,1.2578
MSB,NLinear,21,0.6207,0.4828,-0.1665,1.1407
